N_Execucao;Tamanho;Tempo
1;10;0.0000212900
2;10;0.0000125540
3;10;0.0000125840
4;10;0.0000160700
5;10;0.0000124130
6;10;0.0000124930
7;10;0.0000125030
8;10;0.0000121330
9;10;0.0000127840
10;10;0.0000123340
1;100;0.0001070710
2;100;0.0001031430
3;100;0.0002401920
4;100;0.0001064800
5;100;0.0001049480
6;100;0.0001057990
7;100;0.0001059990
8;100;0.0001033750
9;100;0.0001080030
10;100;0.0001071720
1;1000;0.0015854510
2;1000;0.0016017310
3;1000;0.0015848090
4;1000;0.0015747610
5;1000;0.0016376090
6;1000;0.0016086140
7;1000;0.0015664850
8;1000;0.0015637600
9;1000;0.0016223700
10;1000;0.0015858520
1;10000;0.0215041100
2;10000;0.0213218070
3;10000;0.0218063980
4;10000;0.0223924000
5;10000;0.0215851320
6;10000;0.0214562700
7;10000;0.0223578750
8;10000;0.0217045070
9;10000;0.0213173390
10;10000;0.0217377690
1;100000;0.2631711180
2;100000;0.2645023110
3;100000;0.2705192620
4;100000;0.2596630620
5;100000;0.2851774100
6;100000;0.2624402420
7;100000;0.2665340890
8;100000;0.2656483230
9;100000;0.2587631590
10;100000;0.2784013290
